scorer,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020,DLC_Resnet50_fish_twoMay24shuffle1_snapshot_020
bodyparts,head1,head1,head1,body1,body1,body1,tail1,tail1,tail1,head2,head2,head2,body2,body2,body2,tail2,tail2,tail2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
85,50.359566,583.9136,0.19755575,36.65191,577.75867,0.28646585,35.399666,590.7723,0.19588931,286.4559,516.6887,0.26046288,45.042355,565.392,0.24130714,47.421185,569.9895,0.16607231
86,50.279716,584.41345,0.2015349,36.730026,578.4731,0.27657235,35.54766,591.7216,0.19171263,283.64688,513.43604,0.26522428,45.35785,565.12476,0.24302495,47.591663,569.6069,0.17168547
87,50.466496,584.4522,0.20345712,36.72196,578.2121,0.2851136,35.62066,591.4596,0.19886489,286.84293,516.6896,0.2622233,45.266823,565.3535,0.2463611,47.417984,569.8975,0.16757485
88,50.14538,584.46136,0.20390086,36.08795,578.31995,0.28242385,35.39613,592.051,0.19576453,283.56485,513.1059,0.2586097,45.321213,565.01733,0.2437049,47.54962,569.7,0.16491196
89,50.283684,584.3145,0.20607269,35.815075,578.0315,0.28975698,35.04619,591.6518,0.19897614,283.369,513.2029,0.25969875,45.27188,565.17126,0.24596712,47.59548,569.9408,0.1667371
90,50.191196,584.60657,0.2014761,35.836464,578.4293,0.29015028,35.25167,592.279,0.19514155,283.2129,512.7012,0.27110088,45.303444,564.96356,0.24386333,47.633163,569.69904,0.16764349
91,50.146072,584.2836,0.20599318,36.130985,578.0885,0.2875326,35.19498,591.5444,0.19394231,283.0288,512.70074,0.26260114,45.507298,565.02936,0.2434521,47.57064,569.76086,0.16617247
92,50.372665,584.46924,0.20322108,36.34097,578.60645,0.29608038,35.357155,591.98694,0.20068805,282.9607,513.1445,0.25687817,45.641956,564.7549,0.25022557,47.472286,569.4005,0.16926329
93,50.29124,584.6869,0.2058343,36.38407,578.6174,0.2913812,35.373497,591.7176,0.20226875,282.6512,512.83374,0.25930375,45.561447,564.8949,0.24656087,47.441967,569.6596,0.16459355
94,50.30106,584.2771,0.20518515,34.811077,590.76654,0.29687563,35.184597,591.8093,0.20609488,282.3927,512.75415,0.26177087,45.511784,564.6604,0.24680299,47.447285,569.4452,0.1616827
